Refdatum,AnzahlFall
2020-01-23,1
2020-02-03,2
2020-02-05,3
2020-02-15,6
2020-02-23,7
2020-02-24,9
2020-02-25,10
2020-02-26,15
2020-02-27,17
2020-02-28,20
2020-02-29,24
2020-03-01,32
2020-03-02,42
2020-03-03,54
2020-03-04,63
2020-03-05,70
2020-03-06,97
2020-03-07,116
2020-03-08,143
2020-03-09,208
2020-03-10,291
2020-03-11,377
2020-03-12,478
2020-03-13,619
2020-03-14,771
2020-03-15,920
2020-03-16,1113
2020-03-17,1337
2020-03-18,1599
2020-03-19,1782
2020-03-20,1994
2020-03-21,2142
2020-03-22,2264
2020-03-23,2427
2020-03-24,2566
2020-03-25,2782
2020-03-26,2947
2020-03-27,3168
2020-03-28,3306
2020-03-29,3445
2020-03-30,3552
2020-03-31,3743
2020-04-01,3917
2020-04-02,4017
2020-04-03,4158
2020-04-04,4270
2020-04-05,4342
2020-04-06,4433
2020-04-07,4519
2020-04-08,4632
2020-04-09,4732
2020-04-10,4782
2020-04-11,4858
2020-04-12,4910
2020-04-13,4974
2020-04-14,5042
2020-04-15,5114
2020-04-16,5177
2020-04-17,5241
2020-04-18,5279
2020-04-19,5322
2020-04-20,5368
2020-04-21,5406
2020-04-22,5452
2020-04-23,5507
2020-04-24,5557
2020-04-25,5615
2020-04-26,5641
2020-04-27,5717
2020-04-28,5756
2020-04-29,5794
2020-04-30,5834
2020-05-01,5891
2020-05-02,5921
2020-05-03,5946
2020-05-04,5974
2020-05-05,6003
2020-05-06,6022
2020-05-07,6053
2020-05-08,6084
2020-05-09,6110
2020-05-10,6132
2020-05-11,6181
2020-05-12,6200
2020-05-13,6219
2020-05-14,6237
2020-05-15,6255
2020-05-16,6261
2020-05-17,6269
2020-05-18,6286
2020-05-19,6301
2020-05-20,6317
2020-05-21,6333
2020-05-22,6358
2020-05-23,6364
2020-05-24,6374
2020-05-25,6386
2020-05-26,6423
2020-05-27,6449
2020-05-28,6456
2020-05-29,6470
2020-05-30,6501
2020-05-31,6508
2020-06-01,6511
2020-06-02,6519
2020-06-03,6530
2020-06-04,6541
2020-06-05,6554
2020-06-06,6561
2020-06-07,6571
2020-06-08,6584
2020-06-09,6589
2020-06-10,6597
2020-06-11,6601
2020-06-12,6610
2020-06-13,6614
2020-06-14,6623
2020-06-15,6628
2020-06-16,6635
2020-06-17,6645
2020-06-18,6649
2020-06-19,6661
2020-06-20,6688
2020-06-21,6704
2020-06-22,6713
2020-06-23,6730
2020-06-24,6745
2020-06-25,6761
2020-06-26,6785
2020-06-27,6796
2020-06-28,6817
2020-06-29,6838
2020-06-30,6863
2020-07-01,6872
2020-07-02,6889
2020-07-03,6906
2020-07-04,6922
2020-07-05,6931
2020-07-06,6947
2020-07-07,6981
2020-07-08,6994
2020-07-09,7006
2020-07-10,7016
2020-07-11,7025
2020-07-12,7034
2020-07-13,7054
2020-07-14,7065
2020-07-15,7090
2020-07-16,7107
2020-07-17,7135
2020-07-18,7145
2020-07-19,7161
2020-07-20,7169
2020-07-21,7179
2020-07-22,7197
2020-07-23,7208
2020-07-24,7221
2020-07-25,7234
2020-07-26,7242
2020-07-27,7261
2020-07-28,7276
2020-07-29,7291
2020-07-30,7308
2020-07-31,7323
2020-08-01,7333
2020-08-02,7343
2020-08-03,7365
2020-08-04,7380
2020-08-05,7385
2020-08-06,7404
2020-08-07,7419
2020-08-08,7423
