attraction_name,Traveled as a couple,Traveled on business,Traveled solo,Traveled with family,Traveled with friends,visitors_from_eu,visitors_from_munich,visitors_outside_eu,visitors_outside_munich,Cluster
Allianz Arena,0.24479166666666666,0.044270833333333336,0.07291666666666667,0.3984375,0.23958333333333334,0.42947368421052634,0.04631578947368421,0.37684210526315787,0.14736842105263157,1
Alte Pinakothek,0.3652173913043478,0.0391304347826087,0.1956521739130435,0.1956521739130435,0.20434782608695654,0.3006993006993007,0.08391608391608392,0.4965034965034965,0.11888111888111888,2
Asamkirche Munich,0.4782608695652174,0.0,0.08695652173913043,0.34782608695652173,0.08695652173913043,0.32142857142857145,0.044642857142857144,0.5714285714285714,0.0625,2
Bayerisches Nationalmuseum,0.42857142857142855,0.0,0.17857142857142858,0.17857142857142858,0.21428571428571427,0.35526315789473684,0.06578947368421052,0.5394736842105263,0.039473684210526314,2
Bayerisches Staatsoper,0.5070422535211268,0.028169014084507043,0.14084507042253522,0.1267605633802817,0.19718309859154928,0.3893805309734513,0.08849557522123894,0.37168141592920356,0.1504424778761062,2
BMW Museum,0.3667711598746082,0.07210031347962383,0.11598746081504702,0.22884012539184953,0.21630094043887146,0.31645569620253167,0.043037974683544304,0.6126582278481013,0.027848101265822784,2
Deutsches Museum,0.2589928057553957,0.02877697841726619,0.07194244604316546,0.460431654676259,0.17985611510791366,0.386046511627907,0.07906976744186046,0.3488372093023256,0.18604651162790697,1
Eisbach,0.1875,0.0,0.1875,0.375,0.25,0.3620689655172414,0.04310344827586207,0.46551724137931033,0.12931034482758622,1
English Garden,0.4085714285714286,0.014285714285714285,0.09714285714285714,0.2742857142857143,0.2057142857142857,0.38625954198473283,0.07786259541984733,0.416793893129771,0.11908396946564885,2
Lenbachhaus,0.25,0.0,0.625,0.125,0.0,0.2564102564102564,0.3076923076923077,0.41025641025641024,0.02564102564102564,3
Marienplatz,0.4050632911392405,0.06540084388185655,0.08860759493670886,0.21729957805907174,0.22362869198312235,0.36434977578475336,0.033632286995515695,0.5280269058295964,0.07399103139013453,2
Munich Residenz,0.44970414201183434,0.01775147928994083,0.10059171597633136,0.23372781065088757,0.19822485207100593,0.4180672268907563,0.031512605042016806,0.4831932773109244,0.06722689075630252,2
Museum Brandhorst,0.2833333333333333,0.0,0.4,0.16666666666666666,0.15,0.3968253968253968,0.10317460317460317,0.4126984126984127,0.0873015873015873,0
Neues Rathaus Munich,0.36363636363636365,0.015151515151515152,0.19696969696969696,0.22727272727272727,0.19696969696969696,0.37244897959183676,0.01020408163265306,0.5561224489795918,0.061224489795918366,2
Nymphenburg Palace,0.43125,0.015625,0.1125,0.24375,0.196875,0.3594080338266385,0.048625792811839326,0.5116279069767442,0.080338266384778,2
Olympiapark,0.3877551020408163,0.034013605442176874,0.08503401360544217,0.2925170068027211,0.20068027210884354,0.38005390835579517,0.04043126684636118,0.42318059299191374,0.15633423180592992,2
Olympiaturm,0.4090909090909091,0.022727272727272728,0.11363636363636363,0.22727272727272727,0.22727272727272727,0.3879310344827586,0.017241379310344827,0.45689655172413796,0.13793103448275862,2
Pinakothek der Moderne,0.3783783783783784,0.013513513513513514,0.25675675675675674,0.1891891891891892,0.16216216216216217,0.4144144144144144,0.10810810810810811,0.34234234234234234,0.13513513513513514,0
St-Peter Munich,0.4336283185840708,0.017699115044247787,0.1504424778761062,0.25663716814159293,0.1415929203539823,0.3382352941176471,0.024509803921568627,0.5833333333333334,0.05392156862745098,2
Tierpark Hellabrunn,0.32075471698113206,0.018867924528301886,0.018867924528301886,0.4716981132075472,0.16981132075471697,0.37142857142857144,0.12380952380952381,0.29523809523809524,0.20952380952380953,1
Viktualienmarkt,0.4512820512820513,0.03076923076923077,0.10256410256410256,0.21025641025641026,0.20512820512820512,0.34797297297297297,0.030405405405405407,0.48986486486486486,0.13175675675675674,2
