,country,flux density,latitude,longitude
24,United Kingdom,6.451612903225806,54.7023545,-3.2765753
21,Switzerland,3.225806451612903,46.7985624,8.2319736
19,Spain,9.67741935483871,39.3262345,-4.8380649
13,Japan,3.225806451612903,36.5748441,139.2394179
12,Italy,22.580645161290324,42.6384261,12.674297
11,Ireland,6.451612903225806,52.865196,-7.9794599
9,Germany,19.35483870967742,51.0834196,10.4234469
7,France,6.451612903225806,46.603354,1.8883335
5,Finland,3.225806451612903,63.2467777,25.9209164
3,China,3.225806451612903,35.000074,104.999927
1,Belgium,9.67741935483871,50.6402809,4.6667145
0,Australia,6.451612903225806,-24.7761086,134.755
